Firm Name,Group,Joint Reporting,Reporting frequency,Reporting period,Semester,Complaints Received,Complaints Closed,Complaints Upheld (%)
Grattan Plc,FREEMAN GRATTAN HOLDINGS,,Half Yearly,2021-03-01 to 2021-08-31,,"2,177","2,104",87000.00%
Hastings Insurance Services Limited,NO GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,536,529,35000.00%
Herts Insurance Consultants Ltd,NO GROUP,no,Half Yearly,2021-04-01 to 2021-09-30,,14,16,100.00%
Hoist Finance UK Limited,HOIST FINANCE UK LIMITED,,Half Yearly,2021-07-01 to 2021-12-31,,"1,828","1,849",53100.00%
Homeserve Membership Limited,NO GROUP,no,Half Yearly,2021-04-01 to 2021-09-30,,2,2,0.00%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,Half Yearly,2021-07-01 to 2021-12-31,,"8,706","9,097","4,548"
Hyundai Capital UK Limited,BANCO SANTANDER SA,no,Half Yearly,2021-07-01 to 2021-12-31,,517,476,21100.00%
Indigo Michael Limited,ACCOUNT TECHNOLOGIES LIMITED,,Half Yearly,2021-03-01 to 2021-08-31,,"4,765","4,582","3,762"
Insurance Factory Ltd,MARKERSTUDY HOLDINGS LIMITED,no,Half Yearly,2021-07-01 to 2021-12-31,,95,101,6900.00%
Investec Bank PLC,INVESTEC PLC,no,Half Yearly,2021-04-01 to 2021-09-30,,5,5,500.00%
J D Williams & Company Limited,J D WILLIAMS & COMPANY LIMITED,no,Half Yearly,2021-03-01 to 2021-08-31,,"10,139","9,901","1,369"
JAJA FINANCE LTD,BANK OF IRELAND GROUP PLC,,Half Yearly,2021-04-01 to 2021-09-30,,"4,638","4,615","3,126"
Lantern Debt Recovery Services Ltd,NO GROUP,,Half Yearly,2021-07-01 to 2021-12-31,,831,697,14800.00%
LeasePlan UK Limited,NO GROUP,no,Half Yearly,2021-07-01 to 2021-12-31,,"1,600","1,526","1,062"
Lendable Ltd,NO GROUP,,Half Yearly,2021-07-01 to 2021-12-31,,584,545,6300.00%
Lex Autolease Ltd,LLOYDS BANKING GROUP PLC,no,Half Yearly,2021-07-01 to 2021-12-31,,"2,652","2,859","1,890"
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,Half Yearly,2021-07-01 to 2021-12-31,,141,142,12200.00%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,Half Yearly,2021-07-01 to 2021-12-31,,"5,966","5,913","3,155"
Loans 2 Go Limited,MONEY IN MINUTES LIMITED,,Half Yearly,2021-07-01 to 2021-12-31,,"2,621","2,893",5200.00%
Lowell Financial Ltd,LOWELL GROUP LIMITED,,Half Yearly,2021-07-01 to 2021-12-31,,"4,579","4,406","1,515"
Madison CF UK Limited,MADISON CF UK LIMITED,,Half Yearly,2021-07-01 to 2021-12-31,,"4,011","4,628","1,608"
