Firm Name,Group,Joint Reporting,Reporting frequency,Reporting period,Semester,Complaints Received,Complaints Closed,Complaints Upheld (%)
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"5,949","5,879",54.9%
Loans 2 Go Limited,MONEY IN MINUTES LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,"3,342","3,175",3.0%
Lowell Financial Ltd,LOWELL GROUP LIMITED,yes,Half Yearly,01-01-2021 to 30-06-2021,,"7,614","7,840",34.8%
Madison CF UK Limited,MADISON CF UK LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,"5,583","5,185",31.1%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,113","1,120",49.7%
MCE Insurance Limited,MCE INSURANCE LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,"2,161","2,302",52.5%
Mercedes-Benz Financial Services UK Limited,DAIMLER AG,no,Half Yearly,01-01-2021 to 30-06-2021,,"4,769","4,891",41.4%
Metro Bank PLC,METRO BANK PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,299,300,42.0%
MI Vehicle Finance Limited,INVESTEC PLC,no,Half Yearly,01-10-2020 to 31-03-2021,,536,443,71.1%
Moneybarn No. 1 Limited,PROVIDENT FINANCIAL PLC,yes,Half Yearly,01-01-2021 to 30-06-2021,,"4,663","4,149",33.3%
Monzo Bank Ltd,MONZO BANK LIMITED,no,Half Yearly,01-09-2020 to 28-02-2021,,779,763,29.4%
Moorcroft Debt Recovery Limited,NO GROUP,no,Half Yearly,01-08-2020 to 31-01-2021,,525,522,46.0%
Morses Club PLC,MORSES CLUB PLC,no,Half Yearly,01-09-2020 to 28-02-2021,,"5,201","2,881",35.4%
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,506","1,483",22.2%
MotoNovo Finance Limited,FIRSTRAND LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,"4,784","4,262",58.9%
MYJAR Limited,MYJAR HOLDINGS LIMITED,no,Half Yearly,01-09-2020 to 28-02-2021,,"3,736","4,021",27.4%
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"10,530","10,167",77.6%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,Half Yearly,05-10-2020 to 04-04-2021,,"1,911","2,194",53.6%
New Wave Capital Limited,NO GROUP,no,Yearly,01-04-2020 to 31-03-2021,,"1,007","1,017",57.6%
NewDay Ltd,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"11,353","12,005",38.5%
Next Retail Limited,NO GROUP,no,Half Yearly,01-08-2020 to 31-01-2021,,"63,158","63,214",47.5%
Northern Bank Limited,DANSKE BANK A/S,no,Half Yearly,01-01-2021 to 30-06-2021,,113,111,4.5%
Novaloans Ltd,NO GROUP,no,Half Yearly,01-12-2020 to 31-05-2021,,559,477,23.7%
NRAM Limited,UK ASSET RESOLUTION LIMITED,no,Half Yearly,01-10-2020 to 31-03-2021,,8,9,11.1%
Oakam Ltd,NO GROUP,no,Yearly,01-07-2020 to 30-06-2021,,"1,081","1,060",54.1%
OAKBROOK FINANCE LIMITED,OAKBROOK HOLDINGS LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,"2,396","2,707",17.6%
One Call Insurance Services Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,226,217,44.7%
Oodle Financial Services Limited,OODLE FINANCIAL SERVICES LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,600","1,566",50.4%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,Half Yearly,01-10-2020 to 31-03-2021,,516,546,49.8%
PDL Finance Limited,SDJ ENTERPRISES LIMITED,no,Half Yearly,31-12-2020 to 29-06-2021,,760,694,26.4%
PRA Group (UK) Limited,"PRA GROUP, INC.",no,Half Yearly,01-01-2021 to 30-06-2021,,"2,301","2,197",25.0%
Premium Credit Limited,"FIFTH CINVEN FUND LP, THE",no,Half Yearly,01-01-2021 to 30-06-2021,,"2,531","2,496",14.7%
Provident Personal Credit Limited,PROVIDENT FINANCIAL PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"32,783","20,418",48.1%
PSA Finance UK Limited,PSA FINANCE UK LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,"2,545","2,004",54.6%
RCI Financial Services Limited,RENAULT,no,Half Yearly,01-01-2021 to 30-06-2021,,923,956,43.6%
S.D. Taylor Limited,NON-STANDARD FINANCE PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"4,238","4,199",19.9%
Sainsbury's Bank Plc,J SAINSBURY PLC,no,Half Yearly,01-09-2020 to 28-02-2021,,"1,911","2,157",72.1%
Santander Consumer (UK) Plc,SANTANDER UK - GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,987","1,981",46.7%
Santander UK Plc,SANTANDER UK - GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"2,941","2,887",39.2%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,805","1,881",42.4%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"2,725","2,560",40.7%
Shelby Finance Ltd,MORSES CLUB PLC,no,Half Yearly,01-09-2020 to 28-02-2021,,"1,637","1,037",57.5%
Shop Direct Finance Company Limited,THE VERY GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"17,284","17,311",26.3%
Soteria Insurance Limited,CO-OPERATIVE GROUP LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,124,124,71.0%
Starling Bank Limited,NO GROUP,no,Half Yearly,01-10-2020 to 31-03-2021,,336,376,13.3%
STARTLINE MOTOR FINANCE LIMITED,STARTLINE INVESTORS LP,no,Half Yearly,01-01-2021 to 30-06-2021,,624,597,38.2%
Studio Retail Limited,STUDIO RETAIL GROUP PLC,no,Half Yearly,01-10-2020 to 31-03-2021,,"13,108","12,435",74.0%
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,no,Half Yearly,01-01-2021 to 30-06-2021,,1,1,0.0%
Tandem Bank Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,197,200,61.5%
Temple Finance Limited,BRIXWORTH INVESTMENTS LTD,no,Half Yearly,01-10-2020 to 31-03-2021,,"5,255","4,977",20.5%
Tesco Personal Finance PLC,TESCO PLC,no,Half Yearly,01-09-2020 to 28-02-2021,,"1,740","1,860",61.7%
The Royal Bank of Scotland Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"2,544","2,450",76.4%
The Royal London Mutual Insurance Society Limited,THE ROYAL LONDON MUTUAL INSURANCE SOCIETY LTD,no,Half Yearly,01-01-2021 to 30-06-2021,,5,6,50.0%
Topaz Finance Limited,COMPUTERSHARE LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,6,8,75.0%
TRANSUNION INTERNATIONAL UK LIMITED,TRANSUNION INFORMATION GROUP LIMITED,no,Half Yearly,01-01-2021 to 30-06-2021,,841,774,19.6%
TSB Bank plc,BANCO DE SABADELL SA,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,097","1,118",59.2%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,101,102,43.1%
UK Credit Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"1,099","1,135",36.3%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,101,101,3.0%
Vauxhall Finance plc,VAUXHALL FINANCE PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,870,859,26.7%
Virgin Media Mobile Finance Limited,LIBERTY GLOBAL PLC,no,Half Yearly,01-01-2021 to 30-06-2021,,"6,109","6,019",58.0%
Vitality Corporate Services Limited,RAND MERCHANT INVESTMENT HOLDINGS LTD,no,Half Yearly,01-01-2021 to 30-06-2021,,5,4,25.0%
Volkswagen Financial Services (UK) Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,"15,037","17,121",70.6%
Wescot Credit Services Limited,"ENCORE CAPITAL GROUP, INC.",no,Half Yearly,01-01-2021 to 30-06-2021,,"1,911","1,934",52.9%
Xbridge Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,20,23,39.1%
Zopa Bank Limited,NO GROUP,no,Half Yearly,01-01-2021 to 30-06-2021,,985,963,33.5%
Acorn Insurance & Financial Services Ltd,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,108,97,80.4%
Adrian Flux Insurance Services Group,NO GROUP,no,Half Yearly,01-03-2020 to 31-08-2020,,10,10,20.0%
Advantage Finance Ltd,S & U PLC,no,Half Yearly,01-02-2020 to 31-07-2020,,508,510,48.4%
Ageas Insurance Limited,AGEAS SA-NV,no,Half Yearly,01-07-2020 to 31-12-2020,,1,1,0.0%
Ageas Retail Limited,AGEAS SA-NV,no,Half Yearly,01-07-2020 to 31-12-2020,,220,204,26.5%
AIB Group (UK) Plc,AIB GROUP PUBLIC LIMITED COMPANY,no,Half Yearly,01-07-2020 to 31-12-2020,,28,30,43.3%
Aioi Nissay Dowa Insurance UK Limited,MS & AD INSURANCE GROUP,yes,Half Yearly,01-07-2020 to 31-12-2020,,6,10,30.0%
Ald Automotive Limited,SOCIÉTÉ GÉNÉRALE SA,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,584","1,308",70.5%
Aldermore Bank Plc,FIRSTRAND LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,56,64,15.6%
Allianz Insurance Plc,ALLIANZ SE,no,Half Yearly,01-07-2020 to 31-12-2020,,1,1,0.0%
Amigo Loans Ltd,NO GROUP,no,Half Yearly,01-04-2020 to 30-09-2020,,"32,936","25,493",55.3%
Arrow Global Limited,ARROW GLOBAL GROUP PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,647,663,40.1%
Arval UK Limited,BNP PARIBAS SA,no,Half Yearly,01-07-2020 to 31-12-2020,,"2,508","2,589",79.8%
ATLANTA 1 INSURANCE SERVICES LIMITED,ARDONAGH GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,35,42,38.1%
Automobile Association Insurance Services Limited,AA PLC,no,Half Yearly,01-02-2020 to 31-07-2020,,193,205,16.6%
"AvantCredit of UK, LLC",NO GROUP,no,Yearly,01-01-2020 to 31-12-2020,,"1,545","1,084",32.7%
Aviva UK Digital Limited,AVIVA PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,8,8,75.0%
Bamboo Limited,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,"2,357","2,266",28.9%
Bank of Scotland plc,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"3,894","3,984",52.2%
Barclays Bank Plc,BARCLAYS PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,31,29,82.8%
Barclays Bank UK PLC,BARCLAYS PLC,yes,Half Yearly,01-07-2020 to 31-12-2020,,"10,326","10,732",54.8%
BFSL Limited,BGL GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,787,781,45.3%
BISL Limited,BGL GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,220,208,39.9%
Black Horse Limited,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"4,499","4,579",62.0%
Blue Motor Finance Ltd,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,965,"1,017",24.0%
BMW Financial Services(GB) Limited,BMW AG,no,Half Yearly,01-07-2020 to 31-12-2020,,"3,886","3,839",51.5%
Bollington Insurance Brokers Limited,BOLLINGTON WILSON GROUP LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,21,22,27.3%
British Gas Services Limited,CENTRICA PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,33,34,50.0%
Cabot Credit Management Group Limited,"ENCORE CAPITAL GROUP, INC.",no,Half Yearly,01-07-2020 to 31-12-2020,,"4,076","3,937",25.5%
Capquest Debt Recovery Limited,ARROW GLOBAL GROUP PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,852,827,49.5%
Carole Nash Insurance Consultants Ltd,ARDONAGH GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,20,23,73.9%
Close Brothers Limited,CLOSE BROTHERS GROUP PLC,no,Half Yearly,01-02-2020 to 31-07-2020,,"21,892","21,945",22.7%
Clydesdale Bank Plc,VIRGIN MONEY UK PLC,yes,Half Yearly,01-04-2020 to 30-09-2020,,941,957,81.8%
Compare The Market Limited,BGL GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,2,2,0.0%
Coutts & Company,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,35,37,40.5%
Covea Insurance plc,COVEA COOPERATIONS SA,yes,Half Yearly,01-07-2020 to 31-12-2020,,34,37,67.6%
Coventry Building Society,COVENTRY BUILDING SOCIETY,no,Half Yearly,01-07-2020 to 31-12-2020,,5,5,60.0%
Creation Consumer Finance Ltd,BNP PARIBAS SA,no,Half Yearly,01-07-2020 to 31-12-2020,,"2,585","2,420",41.6%
Creation Financial Services Limited,BNP PARIBAS SA,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,573","1,418",52.9%
Cynergy Bank Limited,CYNERGY CAPITAL LTD,no,Half Yearly,01-07-2020 to 31-12-2020,,4,3,100.0%
Debt Managers (Services) Limited,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,"2,265","2,151",19.9%
Devitt Insurance Services Ltd,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,64,64,14.1%
Elderbridge Limited,TECH MAHINDRA LIMITED,no,Half Yearly,01-04-2020 to 30-09-2020,,50,65,36.9%
EQUIFAX LIMITED,EQUIFAX INC,no,Half Yearly,01-07-2020 to 31-12-2020,,"8,574","11,158",29.2%
EUI Limited,ADMIRAL GROUP PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,964,929,41.2%
Europa Group Limited,BLUE BOAR HOLDINGS LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,50,46,43.5%
Everyday Lending Limited,NON-STANDARD FINANCE PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,964,796,43.7%
Everyday Loans Limited,NON-STANDARD FINANCE PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"2,392","1,915",25.3%
Experian Limited,EXPERIAN PLC,no,Half Yearly,01-04-2020 to 30-09-2020,,"15,332","14,960",26.3%
Extracover Limited,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,179,179,35.2%
Fairmead Insurance Limited,ALLIANZ SE,no,Half Yearly,01-07-2020 to 31-12-2020,,15,31,74.2%
FCE Bank Plc,FORD MOTOR CO,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,260","1,238",72.5%
"FDR Limited, LLC",NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,607,701,46.5%
Ferratum UK Ltd,FERRATUM UK LTD,no,Yearly,01-01-2020 to 31-12-2020,,"3,492","4,496",83.5%
First Central Insurance Management Limited,FIRST CENTRAL GROUP LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,115,127,65.4%
First Response Finance Ltd,ITOCHU CORPORATION,no,Half Yearly,01-04-2020 to 30-09-2020,,664,635,62.2%
FirstRand Bank Limited,FIRSTRAND LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"4,302","4,022",57.4%
Foundation for Credit Counselling,FOUNDATION FOR CREDIT COUNSELLING,no,Half Yearly,01-07-2020 to 31-12-2020,,922,922,44.6%
Freemans Plc,FREEMAN GRATTAN HOLDINGS,no,Half Yearly,01-03-2020 to 31-08-2020,,"2,995","2,911",66.0%
Funding Circle Ltd,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,468,620,35.8%
Gain Credit LLC,LENDING STREAM LLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"8,258","11,056",48.7%
George Banco.com Limited,NON-STANDARD FINANCE PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,702,692,57.2%
Go Car Credit Limited,CARFICO LIMITED,no,Half Yearly,01-04-2020 to 30-09-2020,,835,859,43.8%
Grattan Plc,FREEMAN GRATTAN HOLDINGS,no,Half Yearly,01-03-2020 to 31-08-2020,,"5,051","5,023",65.5%
Hastings Insurance Services Limited,HASTINGS GROUP HOLDINGS PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,008",997,81.9%
Hitachi Capital (UK) PLC,HITACHI CAPITAL (UK) PLC,no,Half Yearly,01-04-2020 to 30-09-2020,,"6,443","5,812",63.4%
Hoist Finance UK Limited,HOIST FINANCE UK LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,760","1,729",27.6%
Homeserve Membership Limited,HOMESERVE PLC,no,Half Yearly,01-04-2020 to 30-09-2020,,260,226,71.2%
HSBC Bank Plc,HSBC HOLDINGS PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,58,75,68.0%
HSBC UK Bank Plc,HSBC HOLDINGS PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"26,272","28,511",65.9%
Hyundai Capital UK Limited,BANCO SANTANDER SA,no,Half Yearly,01-07-2020 to 31-12-2020,,503,481,46.6%
Indigo Michael Limited,ACCOUNT TECHNOLOGIES LIMITED,no,Half Yearly,01-03-2020 to 31-08-2020,,"2,729","3,248",65.3%
Investec Bank PLC,INVESTEC PLC,no,Half Yearly,01-04-2020 to 30-09-2020,,2,2,100.0%
J D Williams & Company Limited,N BROWN GROUP PLC,no,Half Yearly,01-03-2020 to 31-08-2020,,"4,606","5,170",16.6%
LeasePlan UK Limited,INULA HOLDING UK LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,653","1,398",65.7%
Lex Autolease Ltd,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"4,316","4,068",73.4%
Lloyds Bank General Insurance Limited,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,169,169,87.0%
Lloyds Bank PLC,LLOYDS BANKING GROUP PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"6,086","6,247",54.0%
Loans 2 Go Limited,MONEY IN MINUTES LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"2,546","2,475",2.8%
Lowell Financial Ltd,LOWELL GROUP LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"7,307","7,246",37.6%
Madison CF UK Limited,MADISON CF UK LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"3,982","4,185",43.5%
Marks & Spencer Financial Services Plc,HSBC HOLDINGS PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,004","1,037",50.2%
MCE Insurance Limited,MCE INSURANCE LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,966,745,9.7%
Mercedes-Benz Financial Services UK Limited,DAIMLER AG,no,Half Yearly,01-07-2020 to 31-12-2020,,"5,726","5,641",48.2%
Metro Bank PLC,METRO BANK PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,554,546,42.9%
Moneybarn Limited,PROVIDENT FINANCIAL PLC,yes,Half Yearly,01-07-2020 to 31-12-2020,,"3,907","3,142",43.6%
Monzo Bank Ltd,MONZO BANK LIMITED,no,Half Yearly,01-03-2020 to 31-08-2020,,753,720,24.4%
Moorcroft Debt Recovery Limited,NO GROUP,no,Half Yearly,01-02-2020 to 31-07-2020,,507,506,42.7%
Morses Club PLC,MORSES CLUB PLC,no,Half Yearly,01-03-2020 to 31-08-2020,,"3,153","3,349",18.8%
Mortimer Clarke Solicitors Limited,CABOT CREDIT MANAGEMENT GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,214","1,123",32.5%
MotoNovo Finance Limited,FIRSTRAND LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"4,443","4,122",57.7%
MYJAR Limited,MYJAR HOLDINGS LIMITED,no,Half Yearly,01-03-2020 to 31-08-2020,,"3,583","3,358",43.7%
National Westminster Bank Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,"6,353","6,269",74.0%
Nationwide Building Society,NATIONWIDE BUILDING SOCIETY,no,Half Yearly,05-04-2020 to 04-10-2020,,"2,094","1,745",47.8%
NewDay Ltd,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,"11,829","11,192",47.4%
Next Retail Limited,NO GROUP,no,Half Yearly,01-02-2020 to 31-07-2020,,"51,804","51,463",54.7%
Northern Bank Limited,DANSKE BANK A/S,no,Half Yearly,01-07-2020 to 31-12-2020,,131,128,9.4%
Novaloans Ltd,NO GROUP,no,Half Yearly,01-06-2020 to 30-11-2020,,580,637,15.9%
NRAM Limited,UK ASSET RESOLUTION LIMITED,no,Half Yearly,01-04-2020 to 30-09-2020,,5,5,60.0%
OAKBROOK FINANCE LIMITED,OAKBROOK HOLDINGS LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,635","1,188",30.6%
One Call Insurance Services Limited,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,87,87,33.3%
Oodle Financial Services Limited,OODLE FINANCIAL SERVICES LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,650","1,665",40.7%
Paragon Bank Plc,PARAGON BANKING GROUP PLC,yes,Half Yearly,01-04-2020 to 30-09-2020,,579,586,49.3%
PDL Finance Limited,SDJ ENTERPRISES LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,846,850,12.8%
PRA Group (UK) Limited,"PRA GROUP, INC.",no,Half Yearly,01-07-2020 to 31-12-2020,,"1,925","2,024",20.8%
Premium Credit Limited,"FIFTH CINVEN FUND LP, THE",no,Half Yearly,01-07-2020 to 31-12-2020,,"2,614","2,602",12.3%
Prodigy Finance LTD,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,700,639,69.0%
Provident Personal Credit Limited,PROVIDENT FINANCIAL PLC,yes,Half Yearly,01-07-2020 to 31-12-2020,,"41,060","36,095",43.9%
PSA Finance UK Limited,PSA FINANCE UK LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"2,069","2,447",43.4%
Qmetric Group Limited,R&H TRUST CO LTD,no,Half Yearly,01-04-2020 to 30-09-2020,,2,1,0.0%
Quidie Limited,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,846,823,10.2%
RCI Financial Services Limited,RENAULT,no,Half Yearly,01-07-2020 to 31-12-2020,,984,930,56.2%
Retail Merchant Services Limited,TCV,no,Yearly,01-01-2020 to 31-12-2020,,"1,750","1,750",26.8%
S.D. Taylor Limited,NON-STANDARD FINANCE PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,692",590,31.0%
Sabre Insurance Company Limited,SABRE INSURANCE GROUP PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,11,11,45.5%
Sainsbury's Bank Plc,J SAINSBURY PLC,no,Half Yearly,01-03-2020 to 31-08-2020,,"2,239","1,867",75.6%
Santander Consumer (UK) Plc,BANCO SANTANDER SA,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,670","1,639",48.8%
Santander UK Plc,BANCO SANTANDER SA,no,Half Yearly,01-07-2020 to 31-12-2020,,"4,222","4,466",38.9%
ScoresMatter Limited,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,436","1,443",1.3%
Secure Trust Bank Plc,SECURE TRUST BANK PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"2,198","2,124",48.6%
Shawbrook Bank Limited,SHAWBROOK GROUP PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"2,643","2,351",57.9%
Shop Direct Finance Company Limited,LW HOLDINGS LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"20,670","25,112",28.7%
Skipton Building Society,SKIPTON BUILDING SOCIETY,no,Half Yearly,01-07-2020 to 31-12-2020,,1,1,100.0%
Soteria Insurance Limited,CO-OPERATIVE GROUP LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,237,237,57.4%
STARTLINE MOTOR FINANCE LIMITED,STARTLINE INVESTORS LP,no,Half Yearly,01-07-2020 to 31-12-2020,,614,601,46.8%
Studio Retail Limited,STUDIO RETAIL GROUP PLC,no,Half Yearly,01-04-2020 to 30-09-2020,,"9,547","8,127",67.3%
Sun Life Assurance Company of Canada (U.K.) Limited,SUN LIFE FINANCIAL INC.,no,Half Yearly,01-07-2020 to 31-12-2020,,2,2,50.0%
Swinton Group Ltd,ARDONAGH GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,255,251,59.0%
Tandem Bank Limited,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,248,287,65.9%
Temple Finance Limited,BRIXWORTH INVESTMENTS LTD,no,Half Yearly,01-04-2020 to 30-09-2020,,"2,450","2,249",43.9%
Tesco Personal Finance PLC,TESCO PLC,no,Half Yearly,01-03-2020 to 31-08-2020,,"1,964","1,814",66.8%
The Carphone Warehouse Ltd,DIXONS CARPHONE PLC,no,Half Yearly,01-05-2020 to 31-10-2020,,26,32,81.3%
The Royal Bank of Scotland Plc,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,751","1,752",74.1%
Topaz Finance Limited,COMPUTERSHARE LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,18,15,40.0%
TRANSUNION INTERNATIONAL UK LIMITED,TRANSUNION INFORMATION GROUP LIMITED,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,089","1,053",23.9%
TSB Bank plc,BANCO DE SABADELL SA,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,232","1,251",57.9%
U K Insurance Limited,DIRECT LINE INSURANCE GROUP PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,90,88,43.2%
UK Credit Limited,NO GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,909,779,39.5%
Ulster Bank Ltd,THE ROYAL BANK OF SCOTLAND GROUP,no,Half Yearly,01-07-2020 to 31-12-2020,,182,182,75.8%
Uncle Buck Finance LLP,NO GROUP,no,Half Yearly,01-04-2020 to 30-09-2020,,"1,613",85,36.5%
Vanquis Bank Limited,PROVIDENT FINANCIAL PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,18,18,22.2%
Vauxhall Finance plc,VAUXHALL FINANCE PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"1,152","1,169",32.8%
Virgin Media Mobile Finance Limited,LIBERTY GLOBAL PLC,no,Half Yearly,01-07-2020 to 31-12-2020,,"4,667","4,043",67.9%
Vitality Corporate Services Limited,RAND MERCHANT INVESTMENT HOLDINGS LTD,no,Half Yearly,01-07-2020 to 31-12-2020,,12,9,55.6%
Volkswagen Financial Services (UK) Limited,VOLKSWAGEN AG,no,Half Yearly,01-07-2020 to 31-12-2020,,"15,141","16,464",70.5%
Wescot Credit Services Limited,"ENCORE CAPITAL GROUP, INC.",no,Half Yearly,01-07-2020 to 31-12-2020,,"2,396","2,300",51.8%
Xbridge Limited,TRAVELERS COMPANIES INC.,no,Half Yearly,01-07-2020 to 31-12-2020,,57,62,37.1%
Zopa Bank Limited,NO GROUP,yes,Half Yearly,01-07-2020 to 31-12-2020,,768,779,39.8%
Zurich Insurance PLC,ZURICH INSURANCE GROUP AG,no,Half Yearly,01-07-2020 to 31-12-2020,,1,1,100.0%
Acorn Insurance & Financial Services Ltd,NO GROUP,no,Half Yearly,01-01-2020 to 30-06-2020,,29,28,64.3%
